"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq"
"2943","Rwanda",2023,"Sub-Saharan Africa",27958332.0715217,27961083.2440307,27959731.1847419,27963449.083807,13.428698299757,34588534546.2668,54929882478.7128
"2944","Rwanda",2024,"Sub-Saharan Africa",27125462.7298279,27128715.8102198,27127133.1514386,27131473.2417299,13.428698299757,37005235455.0145,56828178305.3026
"2945","Rwanda",2025,"Sub-Saharan Africa",26238593.1158439,26242120.4598288,26240418.5285167,26245066.8182351,13.428698299757,39598192303.3474,58956090814.4061
"2946","Rwanda",2026,"Sub-Saharan Africa",25291514.3388866,25295171.2715626,25293416.9327542,25298189.5517637,13.428698299757,42485692486.1075,61325808050.2599
"2947","Rwanda",2027,"Sub-Saharan Africa",24349893.8756615,24353594.1419477,24351825.0549493,24356620.7527807,13.428698299757,45572278045.2232,63964793112.2688
"2948","Rwanda",2028,"Sub-Saharan Africa",23450658.8087317,23454322.4909788,23452573.8540733,23457305.6744088,13.428698299757,48891307055.2568,66886317183.6748
"2949","Rwanda",2029,"Sub-Saharan Africa",22494857.5363702,22498436.1781164,22496729.4737433,22501345.6523714,13.428698299757,52290398746.0806,70107467443.7493
"2950","Rwanda",2030,"Sub-Saharan Africa",21514514.6814985,21517991.043643,21516333.5135315,21520817.8271367,13.428698299757,55925806972.8802,73624013958.9129
"2951","Rwanda",2031,"Sub-Saharan Africa",20457214.144396,20460557.637084,20458963.4252434,20463281.1139566,13.428698299757,59813961273.3837,77452921151.0598
"2952","Rwanda",2032,"Sub-Saharan Africa",19333713.2178479,19336917.302803,19335388.8878066,19339534.9093687,13.428698299757,63972433423.2453,81612511494.043
